,yyyy_mm_dd,mm_dd,patient_county,mem_cnt,covid_mem_cnt
129,2020-03-13,03-13,Hampshire,2,0.0
130,2020-03-13,03-13,0,1,0.0
131,2020-03-13,03-13,Bristol,22,1.0
132,2020-03-12,03-12,Norfolk,37,2.0
133,2020-03-12,03-12,Middlesex,46,0.0
134,2020-03-12,03-12,Suffolk,19,0.0
135,2020-03-12,03-12,Hampshire,7,0.0
136,2020-03-12,03-12,Hampden,27,0.0
137,2020-03-12,03-12,Barnstable,1,0.0
138,2020-03-12,03-12,Franklin,1,0.0
139,2020-03-12,03-12,Berkshire,2,0.0
140,2020-03-12,03-12,Essex,20,1.0
141,2020-03-12,03-12,Plymouth,18,1.0
142,2020-03-12,03-12,Worcester,35,0.0
143,2020-03-12,03-12,Bristol,26,0.0
144,2020-03-11,03-11,Hampden,13,0.0
145,2020-03-11,03-11,Norfolk,30,0.0
146,2020-03-11,03-11,Essex,24,1.0
147,2020-03-11,03-11,Barnstable,1,0.0
148,2020-03-11,03-11,Suffolk,20,0.0
149,2020-03-11,03-11,Hampshire,5,0.0
150,2020-03-11,03-11,Bristol,24,0.0
151,2020-03-11,03-11,Franklin,3,0.0
152,2020-03-11,03-11,Plymouth,16,0.0
153,2020-03-11,03-11,Middlesex,51,2.0
154,2020-03-11,03-11,Worcester,33,0.0
155,2020-03-10,03-10,Plymouth,18,0.0
156,2020-03-10,03-10,Franklin,3,0.0
157,2020-03-10,03-10,Essex,22,0.0
158,2020-03-10,03-10,Norfolk,26,0.0
159,2020-03-10,03-10,Hampden,15,0.0
160,2020-03-10,03-10,Suffolk,22,0.0
161,2020-03-10,03-10,Middlesex,57,2.0
162,2020-03-10,03-10,Worcester,30,0.0
163,2020-03-10,03-10,Hampshire,4,0.0
164,2020-03-10,03-10,Bristol,32,0.0
165,2020-03-10,03-10,Barnstable,1,0.0
166,2020-03-09,03-09,Franklin,2,0.0
167,2020-03-09,03-09,Essex,15,0.0
168,2020-03-09,03-09,Nantucket,1,0.0
169,2020-03-09,03-09,Middlesex,39,0.0
170,2020-03-09,03-09,Worcester,15,0.0
171,2020-03-09,03-09,Norfolk,27,0.0
172,2020-03-09,03-09,Hampden,6,0.0
173,2020-03-09,03-09,Suffolk,11,0.0
174,2020-03-09,03-09,Bristol,21,0.0
175,2020-03-09,03-09,Hampshire,6,0.0
176,2020-03-09,03-09,Plymouth,18,0.0
177,2020-03-08,03-08,Bristol,24,0.0
178,2020-03-08,03-08,Suffolk,13,0.0
179,2020-03-08,03-08,Barnstable,2,0.0
180,2020-03-08,03-08,Franklin,3,0.0
181,2020-03-08,03-08,Plymouth,11,0.0
182,2020-03-08,03-08,Worcester,29,0.0
183,2020-03-08,03-08,Norfolk,26,0.0
184,2020-03-08,03-08,Hampden,13,0.0
185,2020-03-08,03-08,Middlesex,49,0.0
186,2020-03-08,03-08,Hampshire,4,0.0
187,2020-03-08,03-08,Essex,25,0.0
188,2020-03-07,03-07,Bristol,28,0.0
189,2020-03-07,03-07,Barnstable,3,0.0
190,2020-03-07,03-07,Hampshire,9,0.0
191,2020-03-07,03-07,Hampden,20,0.0
192,2020-03-07,03-07,Suffolk,18,0.0
193,2020-03-07,03-07,Plymouth,30,0.0
194,2020-03-07,03-07,Franklin,5,0.0
195,2020-03-07,03-07,Norfolk,46,0.0
196,2020-03-07,03-07,Middlesex,83,0.0
197,2020-03-07,03-07,Worcester,30,0.0
198,2020-03-07,03-07,Essex,34,0.0
199,2020-03-06,03-06,Middlesex,41,0.0
200,2020-03-06,03-06,Plymouth,22,0.0
201,2020-03-06,03-06,Essex,14,0.0
202,2020-03-06,03-06,Norfolk,33,1.0
203,2020-03-06,03-06,Bristol,26,0.0
204,2020-03-06,03-06,Barnstable,1,0.0
205,2020-03-06,03-06,Hampden,21,0.0
206,2020-03-06,03-06,Franklin,4,0.0
207,2020-03-06,03-06,Worcester,31,0.0
208,2020-03-06,03-06,Hampshire,6,0.0
209,2020-03-06,03-06,Suffolk,18,0.0
210,2020-03-05,03-05,Hampshire,10,0.0
211,2020-03-05,03-05,Worcester,34,0.0
212,2020-03-05,03-05,Bristol,41,0.0
213,2020-03-05,03-05,0,1,0.0
214,2020-03-05,03-05,Plymouth,32,0.0
215,2020-03-05,03-05,Suffolk,18,1.0
216,2020-03-05,03-05,Essex,25,0.0
217,2020-03-05,03-05,Franklin,4,0.0
218,2020-03-05,03-05,Norfolk,36,0.0
219,2020-03-05,03-05,Middlesex,60,0.0
220,2020-03-05,03-05,Hampden,20,0.0
221,2020-03-05,03-05,Berkshire,1,0.0
222,2020-03-04,03-04,Franklin,5,0.0
223,2020-03-04,03-04,Middlesex,51,0.0
224,2020-03-04,03-04,Bristol,32,0.0
225,2020-03-04,03-04,Norfolk,36,0.0
226,2020-03-04,03-04,Hampden,17,0.0
227,2020-03-04,03-04,Suffolk,14,0.0
228,2020-03-04,03-04,Worcester,36,0.0
229,2020-03-04,03-04,Plymouth,24,0.0
230,2020-03-04,03-04,Essex,23,0.0
231,2020-03-04,03-04,Hampshire,7,0.0
232,2020-03-03,03-03,Plymouth,23,0.0
233,2020-03-03,03-03,Worcester,33,0.0
234,2020-03-03,03-03,Barnstable,3,0.0
235,2020-03-03,03-03,Middlesex,48,0.0
236,2020-03-03,03-03,Essex,26,0.0
237,2020-03-03,03-03,Suffolk,10,0.0
238,2020-03-03,03-03,Hampshire,4,0.0
239,2020-03-03,03-03,Hampden,18,0.0
240,2020-03-03,03-03,Franklin,4,0.0
241,2020-03-03,03-03,Norfolk,24,0.0
242,2020-03-03,03-03,Bristol,30,0.0
243,2020-03-02,03-02,Bristol,18,0.0
244,2020-03-02,03-02,Franklin,3,0.0
